"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"A02190";"A.2.A.4.2)  Ricavi per prestazioni sanitarie intramoenia - Area specialistica";711704000.00;"06/12/2011";
"2008";"A02195";"A.2.A.4.3)  Ricavi per prestazioni sanitarie intramoenia - Area sanita' pubblica";14751000.00;"06/12/2011";
"2008";"A02200";"A.2.A.4.4)  Ricavi per prestazioni sanitarie intramoenia - Consulenze (ex art. 55 c.1 lett. c), d) ed ex Art. 57-58)";112830000.00;"14/07/2011";
"2008";"A02205";"A.2.A.4.5)  Ricavi per prestazioni sanitarie intramoenia - Consulenze (ex art. 55 c.1 lett. c), d) ed ex Art. 57-58) (Asl - Ao,Irccs e Policlinici  della Regione)";205000.00;"14/07/2011";
"2008";"A02210";"A.2.A.4.6)  Ricavi per prestazioni sanitarie intramoenia - Altro";49652000.00;"06/12/2011";
"2008";"A02215";"A.2.A.4.7)  Ricavi per prestazioni sanitarie intramoenia - Altro (Asl - Ao, Irccs e Policlinici  della Regione)";33000.00;"14/07/2011";
"2008";"A02220";"A.2.B) Ricavi per prestazioni non sanitarie";89416000.00;"06/12/2011";
"2008";"A02225";"A.2.C) Altri proventi";219870000.00;"06/12/2011";
"2008";"A02230";"A.2.C.1)  Proventi non sanitari";81755000.00;"06/12/2011";
"2008";"A02235";"A.2.C.1.1) Affitti attivi ed altri proventi da attivita' immobiliari";50024000.00;"06/12/2011";
"2008";"A02239";"A.2.C.1.2) Altro";31731000.00;"06/12/2011";
"2008";"A02240";"A.2.C.2) Altri proventi diversi";138115000.00;"06/12/2011";
"2008";"A03000";"A.3)  Concorsi, recuperi e rimborsi per attivita' tipiche";719180000.00;"06/12/2011";
"2008";"A03005";"A.3.A) Rimborsi assicurativi";18816000.00;"06/12/2011";
"2008";"A03010";"A.3.B) Altri concorsi, recuperi e rimborsi per attivita' tipiche";700364000.00;"06/12/2011";
"2008";"A03015";"A.3.B.1) Concorsi, recuperi e rimborsi v/Asl-AO, IRCCS, Policlinici della Regione";18575000.00;"14/07/2011";
"2008";"A03020";"A.3.B.1.1) Rimborso degli oneri stipendiali del personale dipendente dell' azienda in posizione di comando in Asl-AO, IRCCS, Policlinici della Regione";13400000.00;"14/07/2011";
"2008";"A03025";"A.3.B.1.2) Rimborsi per acquisto beni da parte di  Asl-AO, IRCCS, Policlinici della Regione";3319000.00;"14/07/2011";
"2008";"A03030";"A.3.B.1.3) Altri concorsi, recuperi e rimborsi per attivita' tipiche da parte di Asl-AO , IRCCS, Pol";1856000.00;"14/07/2011";
"2008";"A03035";"A.3.B.2) Concorsi, recuperi e rimborsi v/altri Enti Pubblici";201114000.00;"06/12/2011";
