"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"B02625";"B.2.B.2.3.C) Lavoro interinale -area non sanitaria";74294000.00;"06/12/2011";
"2008";"B02630";"B.2.B.2.3.D) Altre collaborazioni e prestazioni di lavoro -area non sanitaria";69146000.00;"06/12/2011";
"2008";"B02635";"B.2.B.2.4) Rimborso oneri stipendiali del personale non sanitario in comando";10410000.00;"14/07/2011";
"2008";"B02645";"B.2.B.2.4.B) Rimborso oneri stipendiali personale non sanitario in comando da Regioni, Enti Pubblici e da Universita'";9981000.00;"14/07/2011";
"2008";"B02650";"B.2.B.2.4.C) Rimborso oneri stipendiali personale non sanitario in comando da aziende di altre Regioni (Extraregione)";429000.00;"15/02/2010";
"2008";"B02655";"B.2.B.3) Formazione (esternalizzata e non)";161619000.00;"06/12/2011";
"2008";"B02660";"B.2.B.3.1) Formazione (esternalizzata e non) da pubblico";63506000.00;"06/12/2011";
"2008";"B02665";"B.2.B.3.2) Formazione (esternalizzata e non) da privato";98113000.00;"06/12/2011";
"2008";"B03000";"B.3)  Manutenzione e riparazione (ordinaria esternalizzata)";1605978000.00;"06/12/2011";
"2008";"B03005";"B.3.A)  Manutenzione e riparazione agli immobili e loro pertinenze";567313000.00;"06/12/2011";
"2008";"B03010";"B.3.B)  Manutenzione e riparazione ai mobili e macchine";154948000.00;"06/12/2011";
"2008";"B03015";"B.3.C)  Manutenzione e riparazione alle attrezzature tecnico-scientifico sanitarie";698673000.00;"06/12/2011";
"2008";"B03020";"B.3.D)  Manutenzione e riparazione per la manut. di automezzi (sanitari e non)";26328000.00;"06/12/2011";
"2008";"B03025";"B.3.E)  Altre manutenzioni e riparazioni";158716000.00;"06/12/2011";
"2008";"B04000";"B.4)   Godimento di beni di terzi";878844000.00;"06/12/2011";
"2008";"B04005";"B.4.A)  Affitti passivi";198746000.00;"06/12/2011";
"2008";"B04010";"B.4.B)  Canoni di noleggio";538447000.00;"06/12/2011";
"2008";"B04015";"B.4.B.1) Canoni di noleggio - area sanitaria";399371000.00;"06/12/2011";
"2008";"B04020";"B.4.B.2) Canoni di noleggio - area non sanitaria";139076000.00;"06/12/2011";
"2008";"B04025";"B.4.C)  Canoni di leasing";141651000.00;"06/12/2011";
"2008";"B04030";"B.4.C.1) Canoni di leasing - area sanitaria";112693000.00;"06/12/2011";
"2008";"B04035";"B.4.C.2) Canoni di leasing - area non sanitaria";28958000.00;"06/12/2011";
"2008";"B05000";"B.5)   Personale del ruolo sanitario";27882967000.00;"06/12/2011";
"2008";"B05005";"B.5.A) Costo del personale dirigente ruolo sanitario";14186391000.00;"06/12/2011";
"2008";"B05010";"B.5.A.1) Costo del personale dirigente medico";12906980000.00;"06/12/2011";
"2008";"B05015";"B.5.A.2) Costo del personale dirigente non medico";1279411000.00;"06/12/2011";
"2008";"B05020";"B.5.B) Costo del personale comparto ruolo sanitario";13696576000.00;"06/12/2011";
"2008";"B05089";"Totale Costo del personale";34891937000.00;"06/12/2011";
"2008";"B06000";"B.6)   Personale del ruolo professionale";137994000.00;"06/12/2011";
"2008";"B06005";"B.6.A) Costo del personale dirigente ruolo professionale";122036000.00;"06/12/2011";
"2008";"B06010";"B.6.B) Costo del personale comparto ruolo professionale";15958000.00;"06/12/2011";
"2008";"B07000";"B.7)   Personale del ruolo tecnico";4069196000.00;"06/12/2011";
"2008";"B07005";"B.7.A) Costo del personale dirigente ruolo tecnico";104174000.00;"06/12/2011";
"2008";"B07010";"B.7.B) Costo del personale comparto ruolo tecnico";3965022000.00;"06/12/2011";
"2008";"B08000";"B.8)   Personale del ruolo amministrativo";2801780000.00;"06/12/2011";
"2008";"B08005";"B.8.A) Costo del personale dirigente ruolo amministrativo";306286000.00;"06/12/2011";
"2008";"B08010";"B.8.B) Costo del personale comparto ruolo amministrativo";2495494000.00;"06/12/2011";
"2008";"B09000";"B.9)   Oneri diversi di gestione";615970000.00;"06/12/2011";
"2008";"B09005";"B.9.A)  Imposte e tasse (escluso Irap e Ires)";89533000.00;"06/12/2011";
"2008";"B09010";"B.9.B)  Perdite su crediti";426000.00;"06/12/2011";
"2008";"B09015";"B.9.C) Altri oneri diversi di gestione";526011000.00;"06/12/2011";
"2008";"B09020";"B.9.C.1)  Indennita', rimborso spese e oneri sociali per gli Organi Direttivi e Collegio Sindacale";205456000.00;"06/12/2011";
"2008";"B09025";"B.9.C.2)  Altri oneri diversi di gestione";320555000.00;"06/12/2011";
"2008";"B10000";"B.10) Ammortamenti delle immobilizzazioni immateriali";124656000.00;"06/12/2011";
"2008";"B11000";"B.11) Ammortamento dei fabbricati";796641000.00;"06/12/2011";
"2008";"B11005";"B.11.A) Ammortamenti fabbricati non strumentali (disponibili)";40155000.00;"06/12/2011";
"2008";"B11010";"B.11.B) Ammortamenti fabbricati strumentali (indisponibili)";756486000.00;"06/12/2011";
"2008";"B11129";"Totale Ammortamenti delle immobilizzazioni materiali";2059537000.00;"06/12/2011";
"2008";"B12000";"B.12) Ammortamenti delle altre immobilizzazioni materiali";1262896000.00;"06/12/2011";
"2008";"B13000";"B.13) Svalutazione dei crediti";40972000.00;"06/12/2011";
"2008";"B14000";"B.14) Variazione delle rimanenze";-91050000.00;"06/12/2011";
"2008";"B14005";"B.14.A) Variazione rimanenze sanitarie";-90096000.00;"06/12/2011";
"2008";"B14010";"B.14.B) Variazione rimanenze non sanitarie";-954000.00;"06/12/2011";
"2008";"B15000";"B.15) Accantonamenti tipici dell'esercizio";2102744000.00;"06/12/2011";
"2008";"B15005";"B.15.A) Accantonamenti per rischi";632609000.00;"06/12/2011";
"2008";"B15010";"B.15.A.1)  Accantonamenti per cause civili ed oneri processuali";145031000.00;"06/12/2011";
"2008";"B15015";"B.15.A.2)  Accantonamenti per contenzioso personale dipendente";24249000.00;"14/07/2011";
"2008";"B15020";"B.15.A.3) Altri accantonamenti per rischi";463329000.00;"06/12/2011";
"2008";"B15025";"B.15.B) Accantonamenti per premio di operosita'";41652000.00;"06/12/2011";
"2008";"B15030";"B.15.C) Altri accantonamenti";1428483000.00;"06/12/2011";
"2008";"B15035";"B.15.C.1)  Accantonamenti per interessi di mora";35861000.00;"14/07/2011";
"2008";"B15040";"B.15.C.2)  Acc. Rinnovi convenzioni MMG/Pls/MCA ed altri";396697000.00;"06/12/2011";
"2008";"B15045";"B.15.C.3)  Acc. Rinnovi contratt. - dirigenza medica";162575000.00;"06/12/2011";
"2008";"B15050";"B.15.C.4)  Acc. Rinnovi contratt.- dirigenza non medica";19363000.00;"06/12/2011";
"2008";"B15055";"B.15.C.5)  Acc. Rinnovi contratt.: - comparto";226962000.00;"06/12/2011";
"2008";"B15060";"B.15.C.6) Altri accantonamenti";587025000.00;"06/12/2011";
"2008";"B99999";"Totale costi della produzione (B)";109341000000.00;"06/12/2011";
"2008";"C01000";"C.1) Interessi attivi";14758000.00;"06/12/2011";
"2008";"C01005";"C.1.A) Interessi attivi su c/tesoreria";6587000.00;"06/12/2011";
"2008";"C01010";"C.1.B) Interessi attivi su c/c postali e bancari";4632000.00;"06/12/2011";
"2008";"C01015";"C.1.C) Altri interessi attivi";3539000.00;"06/12/2011";
"2008";"C02000";"C.2) Altri proventi";3157000.00;"15/02/2010";
"2008";"C02005";"C.2.A) Proventi da partecipazioni";236000.00;"19/10/2009";
"2008";"C02015";"C.2.C) Proventi finanziari da titoli iscritti nelle immobilizzazioni";289000.00;"19/10/2009";
"2008";"C02020";"C.2.D) Altri proventi finanziari diversi dai precedenti";2611000.00;"15/02/2010";
"2008";"C02025";"C.2.E) Utili su cambi";21000.00;"19/10/2009";
"2008";"C03000";"C.3)  Interessi passivi";584942000.00;"06/12/2011";
"2008";"C03005";"C.3.A) Interessi passivi su c/c tesoreria";174480000.00;"06/12/2011";
"2008";"C03010";"C.3.B) Interessi passivi su mutui";104469000.00;"14/07/2011";
"2008";"C03015";"C.3.C) Altri interessi passivi";305993000.00;"06/12/2011";
"2008";"C04000";"C.4)  Altri oneri";24423000.00;"06/12/2011";
"2008";"C04005";"C.4.A) Altri oneri finanziari";24408000.00;"06/12/2011";
"2008";"C04010";"C.4.B) Perdite su cambi";15000.00;"06/12/2011";
"2008";"C99999";"Totale proventi e oneri finanziari (C)";-591450000.00;"06/12/2011";
"2008";"D01000";"D.1)  Rivalutazioni";2162000.00;"30/10/2009";
"2008";"D02000";"D.2)  Svalutazioni";182000.00;"15/02/2010";
"2008";"D99999";"Totale rettifiche di valore di attivita' finanziarie (D)";1980000.00;"15/02/2010";
"2008";"E01000";"E.1) Proventi straordinari";951575000.00;"06/12/2011";
"2008";"E01005";"E.1.A) Plusvalenze";87670000.00;"14/07/2011";
"2008";"E01010";"E.1.B) Altri proventi straordinari";863905000.00;"06/12/2011";
"2008";"E01015";"E.1.B.1) Proventi da donazioni e liberalita' diverse";25765000.00;"14/07/2011";
"2008";"E01020";"E.1.B.2) Sopravvenienze attive";480448000.00;"06/12/2011";
"2008";"E01025";"E.1.B.2.1) Sopravvenienze Attive v/Asl-AO, IRCCS, Policlinici";154000.00;"14/07/2011";
"2008";"E01030";"E.1.B.2.2) Sopravvenienze Attive v/terzi";480294000.00;"06/12/2011";
"2008";"E01035";"E.1.B.2.2.A) Sopravvenienze attive v/terzi relative alla mobilita' extraregionale";14039000.00;"06/12/2011";
"2008";"E01040";"E.1.B.2.2.B) Sopravvenienze attive v/terzi relative al personale";52253000.00;"06/12/2011";
"2008";"E01045";"E.1.B.2.2.C) Sopravvenienze attive v/terzi relative alle convenzioni con medici di base";26416000.00;"15/02/2010";
"2008";"E01050";"E.1.B.2.2.D) Sopravvenienze attive v/terzi relative alle convenzioni per la specialistica";6331000.00;"06/12/2011";
"2008";"E01055";"E.1.B.2.2.E) Sopravvenienze attive v/terzi relative all'acquisto prestaz. Sanitarie da operatori accreditati";74140000.00;"06/12/2011";
"2008";"E01060";"E.1.B.2.2.F) Sopravvenienze attive v/terzi relative all'acquisto di beni e servizi";83505000.00;"06/12/2011";
"2008";"E01065";"E.1.B.2.2.G) Altre sopravvenienze attive v/terzi";223610000.00;"06/12/2011";
"2008";"E01070";"E.1.B.3) Insussistenze attive";319473000.00;"06/12/2011";
"2008";"E01080";"E.1.B.3.2) Insussistenze Attive v/terzi";319473000.00;"06/12/2011";
"2008";"E01085";"E.1.B.3.2.A) Insussistenze attive v/terzi relative alla mobilita' extraregionale";452000.00;"30/06/2009";
"2008";"E01090";"E.1.B.3.2.B) Insussistenze attive v/terzi relative al personale";43584000.00;"14/07/2011";
"2008";"E01095";"E.1.B.3.2.C) Insussistenze attive v/terzi relative alle convenzioni con medici di base";21254000.00;"15/02/2010";
"2008";"E01100";"E.1.B.3.2.D) Insussistenze attive v/terzi relative alle convenzioni per la specialistica";10049000.00;"14/07/2011";
"2008";"E01105";"E.1.B.3.2.E) Insussistenze attive v/terzi relative all'acquisto prestaz. Sanitarie da operatori accreditati";42718000.00;"15/02/2010";
"2008";"E01110";"E.1.B.3.2.F) Insussistenze attive v/terzi relative all'acquisto di beni e servizi";96327000.00;"06/12/2011";
"2008";"E01115";"E.1.B.3.2.G) Altre Insussistenze attive v/terzi";105089000.00;"06/12/2011";
"2008";"E01120";"E.1.B.4) Altri proventi straordinari";38219000.00;"06/12/2011";
"2008";"E02000";"E.2) Oneri straordinari";1334700000.00;"06/12/2011";
"2008";"E02005";"E.2.A) Minusvalenze";19137000.00;"06/12/2011";
"2008";"E02010";"E.2.B) Altri oneri straordinari";1315563000.00;"06/12/2011";
"2008";"E02015";"E.2.B.1) Oneri tributari da esercizi precedenti";12474000.00;"15/02/2010";
"2008";"E02020";"E.2.B.2) Oneri da cause civili";92869000.00;"06/12/2011";
"2008";"E02025";"E.2.B.3) Sopravvenienze passive";1139838000.00;"06/12/2011";
"2008";"E02045";"E.2.B.3.2) Sopravvenienze passive v/terzi";1139838000.00;"06/12/2011";
"2008";"E02050";"E.2.B.3.2.A) Sopravvenienze passive v/terzi relative alla mobilita' extraregionale";184539000.00;"06/12/2011";
"2008";"E02055";"E.2.B.3.2.B) Sopravvenienze passive v/terzi relative al personale";255065000.00;"06/12/2011";
"2008";"E02060";"E.2.B.3.2.B.1) Soprav. passive v/terzi relative al personale - dirigenza medica";119088000.00;"06/12/2011";
"2008";"E02065";"E.2.B.3.2.B.2) Soprav. passive v/terzi relative al personale - dirigenza non medica";16605000.00;"06/12/2011";
"2008";"E02070";"E.2.B.3.2.B.3) Soprav. passive v/terzi relative al personale - comparto";119372000.00;"06/12/2011";
"2008";"E02075";"E.2.B.3.2.C) Sopravvenienze passive v/terzi relative alle convenzioni con medici di base";21200000.00;"14/07/2011";
"2008";"E02080";"E.2.B.3.2.D) Sopravvenienze passive v/terzi relative alle convenzioni per la specialistica";23852000.00;"14/07/2011";
"2008";"E02085";"E.2.B.3.2.E) Sopravvenienze passive v/terzi relative all'acquisto prestaz. sanitarie da operatori accreditati";85467000.00;"06/12/2011";
"2008";"E02090";"E.2.B.3.2.F) Sopravvenienze passive v/terzi relative all'acquisto di beni e servizi";306168000.00;"06/12/2011";
"2008";"E02095";"E.2.B.3.2.G) Altre sopravvenienze passive v/terzi";263547000.00;"06/12/2011";
"2008";"E02100";"E.2.B.4) Insussistenze passive";61586000.00;"06/12/2011";
"2008";"E02105";"E.2.B.4.1) Insussistenze passive v/Asl-AO, IRCCS, Policlinici";37000.00;"06/06/2009";
"2008";"E02110";"E.2.B.4.2) Insussistenze passive v/terzi";61549000.00;"06/12/2011";
"2008";"E02115";"E.2.B.4.2.A) Insussistenze passive v/terzi relative alla mobilita' extraregionale";2028000.00;"06/12/2011";
"2008";"E02120";"E.2.B.4.2.B) Insussistenze passive v/terzi relative al personale";379000.00;"30/10/2009";
"2008";"E02125";"E.2.B.4.2.C) Insussistenze passive v/terzi relative alle convenzioni con medici di base";26000.00;"30/06/2009";
"2008";"E02130";"E.2.B.4.2.D) Insussistenze passive v/terzi relative alle convenzioni per la specialistica";4000.00;"30/06/2009";
"2008";"E02135";"E.2.B.4.2.E) Insussistenze passive v/terzi relative all'acquisto prestaz. sanitarie da operatori accreditati";13713000.00;"15/02/2010";
"2008";"E02140";"E.2.B.4.2.F) Insussistenze passive v/terzi relative all'acquisto di beni e servizi";11607000.00;"06/12/2011";
"2008";"E02145";"E.2.B.4.2.G) Altre Insussistenze passive v/terzi";33792000.00;"06/12/2011";
"2008";"E02150";"E.2.B.5) Altri oneri straordinari";8796000.00;"14/07/2011";
"2008";"E99999";"Totale proventi e oneri straordinari (E)";-383125000.00;"06/12/2011";
"2008";"X01000";"Risultato prima delle imposte (A - B +/- C +/- D +/- E)";-1544792000.00;"06/12/2011";
"2008";"Y01000";"Y.1) IRAP";2536718000.00;"06/12/2011";
"2008";"Y01005";"Y.1.A) IRAP relativa a personale dipendente";2349177000.00;"06/12/2011";
"2008";"Y01010";"Y.1.B) IRAP relativa a collaboratori e personale assimilato a lavoro dipendente";119167000.00;"06/12/2011";
"2008";"Y01015";"Y.1.C) IRAP relativa ad attivita' di libera professione (intramoenia)";66706000.00;"06/12/2011";
"2008";"Y01020";"Y.1.D) IRAP relativa ad attivita' commerciali";1668000.00;"15/02/2010";
"2008";"Y02000";"Y.2) IRES";46381000.00;"06/12/2011";
"2008";"Y02005";"Y.2.A) IRES su attivita' istituzionale";37916000.00;"06/12/2011";
"2008";"Y02010";"Y.2.B) IRES su attivita' commerciale";8465000.00;"06/12/2011";
"2008";"Y03000";"Y.3) Accantonamento a F.do Imposte (Accertamenti, condoni, ecc.)";7256000.00;"06/12/2011";
"2008";"Y99999";"Totale imposte e tasse";2590355000.00;"06/12/2011";
"2008";"Z99999";"RISULTATO DI ESERCIZIO";-4135147000.00;"06/12/2011";
"2009";"A01000";"A.1)  Contributi in c/esercizio";102972000000.00;"12/07/2011";
"2009";"A01005";"A.1.A)  Contributi da Regione e Prov. Aut. per quota F.S. regionale";101147000000.00;"12/07/2011";
"2009";"A01010";"A.1.A.1)  da Regione e Prov. Aut. per quota F.S. regionale indistinto";99098709000.00;"12/07/2011";
"2009";"A01015";"A.1.A.2)  da Regione e Prov. Aut. per quota F.S. vincolato";2048380000.00;"12/07/2011";
"2009";"A01020";"A.1.B)  Contributi c/esercizio da enti pubblici  (EXTRA FONDO)";1789058000.00;"12/07/2011";
"2009";"A01025";"A.1.B.1)  da enti pubblici (extra fondo) vincolati";836550000.00;"12/07/2011";
"2009";"A01030";"A.1.B.1.1)  Contributi da Regione (extra fondo) vincolati";540807000.00;"12/07/2011";
"2009";"A01035";"A.1.B.1.2)  Contributi da altri enti pubblici (extra fondo) vincolati";146591000.00;"12/07/2011";
"2009";"A01040";"A.1.B.1.3)  Contributi da Asl/Ao/Irccs/Policlinici  (extra fondo) vincolati";303000.00;"12/07/2011";
"2009";"A01045";"A.1.B.1.4)  Contributi in conto esercizio per ricerca corrente";115943000.00;"01/07/2011";
"2009";"A01050";"A.1.B.1.5)  Contributi in conto esercizio per ricerca finalizzata";32906000.00;"12/07/2011";
"2009";"A01055";"A.1.B.2)  da enti pubblici (extra fondo) - Altro";952508000.00;"12/07/2011";
"2009";"A01060";"A.1.B.2.1)  Contributi da Regione (extra fondo)  - Altro";913985000.00;"12/07/2011";
"2009";"A01065";"A.1.B.2.2)  Contributi da altri enti pubblici (extra fondo) - Altro";38484000.00;"12/07/2011";
"2009";"A01070";"A.1.B.2.3)  Contributi da Asl/Ao/Irccs/Policlinici  (extra fondo) - Altro";39000.00;"02/09/2010";
"2009";"A01075";"A.1.C)  Contributi c/esercizio da enti privati";35936000.00;"12/07/2011";
"2009";"A02000";"A.2)   Proventi e ricavi diversi";5599939000.00;"12/07/2011";
"2009";"A02005";"A.2.A)  Ricavi per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria";5269200000.00;"12/07/2011";
"2009";"A02010";"A.2.A.1)  Ricavi per prestazioni sanitarie e sociosanitarie erogate a soggetti pubblici";2415823000.00;"12/07/2011";
"2009";"A02015";"A.2.A.1.1)  Ricavi per prestaz. sanitarie  e sociosanitarie erogate ad  ASL, A.O., IRCCS e Policlinici della Regione";6199000.00;"12/07/2011";
"2009";"A02020";"A.2.A.1.1.A) Prestazioni di ricovero";28000.00;"18/01/2011";
"2009";"A02025";"A.2.A.1.1.B) Prestazioni di specialistica ambulatoriale";16000.00;"12/07/2011";
"2009";"A02030";"A.2.A.1.1.C) Prestazioni di psichiatria residenziale e semiresidenziale";4614000.00;"02/09/2010";
"2009";"A02040";"A.2.A.1.1.E) Altre prestazioni sanitarie e sociosanitarie";1541000.00;"12/07/2011";
"2009";"A02050";"A.2.A.1.1.E.2) Prestazioni servizi farmaceutica convenzionata";107000.00;"18/01/2011";
"2009";"A02065";"A.2.A.1.1.E.5) Altre prestazioni sanitarie e socio-sanitarie";1434000.00;"12/07/2011";
"2009";"A02070";"A.2.A.1.2)   Ricavi per prestaz. sanitarie  e sociosanitarie  erogate ad altri soggetti pubblici";98898000.00;"12/07/2011";
"2009";"A02075";"A.2.A.1.3)   Ricavi per prestaz. sanitarie e sociosanitarie erogate a soggetti pubblici extra Regione";2310726000.00;"12/07/2011";
"2009";"A02080";"A.2.A.1.3.A) Prestazioni di ricovero";1717066000.00;"12/07/2011";
"2009";"A02085";"A.2.A.1.3.B) Prestazioni ambulatoriali";298076000.00;"12/07/2011";
"2009";"A02090";"A.2.A.1.3.C) Prestazioni di psichiatria non soggetta a compensazione (resid. e semiresid.)";1631000.00;"26/01/2011";
"2009";"A02095";"A.2.A.1.3.D) Prestazioni di File F";113670000.00;"01/07/2011";
"2009";"A02100";"A.2.A.1.3.E) Altre prestazioni sanitarie soggette a compensazione Extraregione";143790000.00;"12/07/2011";
"2009";"A02105";"A.2.A.1.3.E.1) Prestazioni servizi MMG, PLS, Contin. assistenziale Extraregione";19848000.00;"01/07/2011";
"2009";"A02110";"A.2.A.1.3.E.2) Prestazioni servizi farmaceutica conv enzionata Extraregione";66073000.00;"01/07/2011";
"2009";"A02115";"A.2.A.1.3.E.3) Prestazioni termali Extraregione";28579000.00;"26/01/2011";
"2009";"A02120";"A.2.A.1.3.E.4) Prestazioni trasporto ambulanze ed elisoccorso Extraregione";13325000.00;"01/07/2011";
"2009";"A02125";"A.2.A.1.3.E.5) Altre prestazioni sanitarie  Extraregione";15965000.00;"12/07/2011";
"2009";"A02130";"A.2.A.1.3.F) Altre prestazioni sanitarie e sociosanitarie non soggette a compensazione Extraregione";23315000.00;"01/07/2011";
"2009";"A02135";"A.2.A.1.3.F.1) Prestazioni di assistenza riabilitativa non soggetta a compensazione Extraregione";235000.00;"01/07/2011";
"2009";"A02140";"A.2.A.1.3.F.2) Altre prestazioni sanitarie e socio-sanitarie non soggetta a compenzazione Extraregione";23080000.00;"26/01/2011";
"2009";"A02145";"A.2.A.1.3.G) Altre prestazioni sanitarie - Mobilita' attiva Internazionale";13178000.00;"06/09/2010";
"2009";"A02150";"A.2.A.2)  Ricavi per prestazioni sanitarie erogate da soggetti privati v/ residenti extraregione in compensazione (mobilita' attiva)";1014813000.00;"01/07/2011";
"2009";"A02155";"A.2.A.2.1)  Prestazioni di ricovero da priv. extraregione in compensazione (mobilita' attiva)";894674000.00;"01/07/2011";
"2009";"A02160";"A.2.A.2.2)  Prestazioni ambulatoriali da priv. extraregione in compensazione  (mobilita' attiva)";79638000.00;"18/01/2011";
"2009";"A02165";"A.2.A.2.3)  Prestazioni di File F da priv. extraregione in compensazione (mobilita' attiva)";22687000.00;"21/12/2010";
"2009";"A02170";"A.2.A.2.4)  Altre prestazioni sanitarie erogate da privati v/residenti extraregione in compensazione (mobilita' attiva)";17814000.00;"03/12/2010";
"2009";"A02175";"A.2.A.3)  Ricavi per prestazioni sanitarie erogate a soggetti privati";573781000.00;"12/07/2011";
"2009";"A02180";"A.2.A.4)  Ricavi per prestazioni sanitarie erogate in regime di intramoenia";1264783000.00;"12/07/2011";
"2009";"A02185";"A.2.A.4.1)  Ricavi per prestazioni sanitarie intramoenia - Area ospedaliera";353874000.00;"12/07/2011";
"2009";"A02190";"A.2.A.4.2)  Ricavi per prestazioni sanitarie intramoenia - Area specialistica";741836000.00;"12/07/2011";
"2009";"A02195";"A.2.A.4.3)  Ricavi per prestazioni sanitarie intramoenia - Area sanita' pubblica";16724000.00;"12/07/2011";
"2009";"A02200";"A.2.A.4.4)  Ricavi per prestazioni sanitarie intramoenia - Consulenze (ex art. 55 c.1 lett. c), d) ed ex Art. 57-58)";102576000.00;"12/07/2011";
"2009";"A02210";"A.2.A.4.6)  Ricavi per prestazioni sanitarie intramoenia - Altro";49716000.00;"12/07/2011";
"2009";"A02215";"A.2.A.4.7)  Ricavi per prestazioni sanitarie intramoenia - Altro (Asl - Ao, Irccs e Policlinici  della Regione)";57000.00;"12/07/2011";
"2009";"A02220";"A.2.B) Ricavi per prestazioni non sanitarie";92522000.00;"12/07/2011";
"2009";"A02225";"A.2.C) Altri proventi";238217000.00;"12/07/2011";
"2009";"A02230";"A.2.C.1)  Proventi non sanitari";88739000.00;"12/07/2011";
"2009";"A02235";"A.2.C.1.1) Affitti attivi ed altri proventi da attivita' immobiliari";54521000.00;"12/07/2011";
"2009";"A02239";"A.2.C.1.2) Altro";34218000.00;"12/07/2011";
"2009";"A02240";"A.2.C.2) Altri proventi diversi";149478000.00;"12/07/2011";
"2009";"A03000";"A.3)  Concorsi, recuperi e rimborsi per attivita' tipiche";854159000.00;"12/07/2011";
"2009";"A03005";"A.3.A) Rimborsi assicurativi";23654000.00;"12/07/2011";
"2009";"A03010";"A.3.B) Altri concorsi, recuperi e rimborsi per attivita' tipiche";830505000.00;"12/07/2011";
"2009";"A03015";"A.3.B.1) Concorsi, recuperi e rimborsi v/Asl-AO, IRCCS, Policlinici della Regione";5540000.00;"12/07/2011";
"2009";"A03020";"A.3.B.1.1) Rimborso degli oneri stipendiali del personale dipendente dell' azienda in posizione di comando in Asl-AO, IRCCS, Policlinici della Regione";5107000.00;"12/07/2011";
"2009";"A03025";"A.3.B.1.2) Rimborsi per acquisto beni da parte di  Asl-AO, IRCCS, Policlinici della Regione";53000.00;"02/09/2010";
"2009";"A03030";"A.3.B.1.3) Altri concorsi, recuperi e rimborsi per attivita' tipiche da parte di Asl-AO , IRCCS, Pol";380000.00;"18/01/2011";
"2009";"A03035";"A.3.B.2) Concorsi, recuperi e rimborsi v/altri Enti Pubblici";259386000.00;"12/07/2011";
"2009";"A03040";"A.3.B.2.1) Rimborso degli oneri stipendiali del personale  dipendente dell'azienda in posizione di comando v/altri Enti Pubblici";86203000.00;"12/07/2011";
"2009";"A03045";"A.3.B.2.2) Rimborsi per acquisto beni v/altri Enti Pubblici";54084000.00;"26/01/2011";
"2009";"A03050";"A.3.B.2.3) Altri concorsi, recuperi e rimborsi per attivita' tipiche v/Altri Enti Pubblici";119099000.00;"12/07/2011";
"2009";"A03055";"A.3.B.3) Concorsi, recuperi e rimborsi v/Regione";5063000.00;"12/07/2011";
"2009";"A03060";"A.3.B.3.1) Rimborso degli oneri stipendiali del personale dell'azienda in posizione di comando v/Regione";4898000.00;"12/07/2011";
"2009";"A03065";"A.3.B.3.2) Altri concorsi, recuperi e rimborsi per attivita' tipiche v/Regione";165000.00;"01/09/2010";
"2009";"A03070";"A.3.B.4) Concorsi, recuperi e rimborsi v/privati";560516000.00;"12/07/2011";
"2009";"A03075";"A.3.B.4.1) Rimborso da Aziende Farmaceutiche per Pay Back";251682000.00;"12/07/2011";
"2009";"A03080";"A.3.B.4.2) Altri concorsi, recuperi e rimborsi verso privati";308834000.00;"12/07/2011";
"2009";"A04000";"A.4) Compartecipazione alla spesa per prestazioni sanitarie (ticket)";1200047000.00;"12/07/2011";
"2009";"A04005";"A.4.A) Compartecipazione alla spesa per prestazioni sanitarie - Ticket sulle prestazioni di specialistica ambulatoriale";1082197000.00;"12/07/2011";
"2009";"A04010";"A.4.B) Compartecipazione alla spesa per prestazioni sanitarie - Ticket sul pronto soccorso";21718000.00;"12/07/2011";
"2009";"A04015";"A.4.C) Compartecipazione alla spesa per prestazioni sanitarie (ticket)- Altro";96132000.00;"12/07/2011";
"2009";"A05000";"A.5)  Costi capitalizzati";1395420000.00;"12/07/2011";
"2009";"A05005";"A.5.A)  Costi capitalizzati da utilizzo finanziamenti per investimenti (Costi Sterilizzati)";1373157000.00;"12/07/2011";
"2009";"A05010";"A.5.A.1) Costi capitalizzati da utilizzo finanziamenti per investimenti da Regione";1177279000.00;"12/07/2011";
"2009";"A05015";"A.5.A.2) Costi capitalizzati da utilizzo finanziamenti per investimenti dallo Stato";77183000.00;"12/07/2011";
"2009";"A05020";"A.5.A.3) Costi capitalizzati da utilizzo altre poste del patrimonio netto";118695000.00;"01/07/2011";
"2009";"A05025";"A.5.B)  Costi capitalizzati per costi sostenuti in economia";22263000.00;"12/07/2011";
"2009";"A99999";"Totale valore della produzione (A)";112022000000.00;"12/07/2011";
"2009";"B01000";"B.1)  Acquisti di beni";14147444000.00;"12/07/2011";
"2009";"B01005";"B.1.A)  Acquisti di beni sanitari";13415934000.00;"12/07/2011";
"2009";"B01010";"B.1.A.1)  Prodotti farmaceutici ed emoderivati";6717851000.00;"12/07/2011";
"2009";"B01015";"B.1.A.2)  Ossigeno";135335000.00;"12/07/2011";
"2009";"B01020";"B.1.A.3)  Prodotti dietetici";58944000.00;"12/07/2011";
"2009";"B01025";"B.1.A.4)  Materiali per la profilassi (vaccini)";259078000.00;"12/07/2011";
"2009";"B01030";"B.1.A.5)  Materiali diagnostici prodotti chimici";1483699000.00;"12/07/2011";
"2009";"B01035";"B.1.A.6)  Materiali diagnostici, lastre RX, mezzi di contrasto per RX, carta per ECG, ECG, etc.";233134000.00;"12/07/2011";
